GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0042300402,1610612738,BOS,Boston,201950,Jrue Holiday,Jrue,G,,40:42,11.0,14.0,0.786,2.0,4.0,0.5,2.0,2.0,1.0,4.0,7.0,11.0,3.0,1.0,1.0,0.0,3.0,26.0,6.0
0042300402,1610612738,BOS,Boston,204001,Kristaps Porziņģis,Kristaps,,,23:13,4.0,7.0,0.571,0.0,3.0,0.0,4.0,4.0,1.0,0.0,4.0,4.0,1.0,0.0,2.0,0.0,2.0,12.0,12.0
0042300402,1610612738,BOS,Boston,1630573,Sam Hauser,Sam,,,10:18,0.0,5.0,0.0,0.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
0042300402,1610612738,BOS,Boston,1630202,Payton Pritchard,Payton,,,12:01,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0
0042300402,1610612738,BOS,Boston,1629052,Oshae Brissett,Oshae,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300402,1610612738,BOS,Boston,1628436,Luke Kornet,Luke,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300402,1610612738,BOS,Boston,1629004,Svi Mykhailiuk,Svi,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300402,1610612738,BOS,Boston,1629674,Neemias Queta,Neemias,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300402,1610612738,BOS,Boston,1630531,Jaden Springer,Jaden,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300402,1610612738,BOS,Boston,1630214,Xavier Tillman,Xavier,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300402,1610612738,BOS,Boston,1641775,Jordan Walsh,Jordan,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042300401,1610612738,BOS,Boston,1627759,Jaylen Brown,Jaylen,F,,37:14,7.0,12.0,0.583,2.0,6.0,0.333,6.0,11.0,0.545,1.0,5.0,6.0,2.0,3.0,3.0,2.0,3.0,22.0,12.0
0042300401,1610612738,BOS,Boston,1628369,Jayson Tatum,Jayson,F,,42:09,6.0,16.0,0.375,3.0,7.0,0.429,1.0,2.0,0.5,2.0,9.0,11.0,5.0,0.0,1.0,6.0,1.0,16.0,19.0
0042300401,1610612738,BOS,Boston,201143,Al Horford,Al,C,,29:48,4.0,8.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,2.0,5.0,7.0,3.0,0.0,2.0,0.0,0.0,10.0,7.0
0042300401,1610612738,BOS,Boston,1628401,Derrick White,Derrick,G,,35:10,5.0,11.0,0.455,3.0,8.0,0.375,2.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0,2.0,3.0,15.0,3.0
